t,x(t) cubeL,F(t) cubeL,x(t) cubeR,v(t) cubeR,F(t) cubeR,L(y-axis) yellowL,w(t) cubeL,v(t) cubeL
0.02,-7,0,5.28,0,1.72,0,0,0
0.04,-7,0,5.280688,0.03439999,1.719312,0,0,0
0.06,-7,0,5.282064,0.06878623,1.717936,0,0,0
0.08,-7,0,5.284127,0.1031449,1.715873,0,0,0
0.09999999,-7,0,5.286876,0.1374624,1.713124,0,0,0
0.12,-7,0,5.290311,0.1717249,1.709689,0,0,0
0.14,-7,0,5.294429,0.2059187,1.705571,0,0,0
0.16,-7,0,5.29923,0.2400301,1.70077,0,0,0
0.18,-7,0,5.304711,0.2740455,1.695289,0,0,0
0.2,-7,0,5.31087,0.3079512,1.68913,0,0,0
0.22,-7,0,5.317704,0.3417338,1.682296,0,0,0
0.24,-7,0,5.325212,0.3753798,1.674788,0,0,0
0.26,-7,0,5.333389,0.4088755,1.666611,0,0,0
0.28,-7,0,5.342234,0.4422078,1.657766,0,0,0
0.3,-7,0,5.351741,0.4753631,1.648259,0,0,0
0.32,-7,0,5.361907,0.5083283,1.638093,0,0,0
0.34,-7,0,5.372729,0.5410901,1.627271,0,0,0
0.36,-7,0,5.384202,0.5736355,1.615798,0,0,0
0.38,-7,0,5.396321,0.6059515,1.603679,0,0,0
0.4,-7,0,5.409081,0.638025,1.590919,0,0,0
0.42,-7,0,5.422478,0.6698434,1.577522,0,0,0
0.4400001,-7,0,5.436506,0.7013938,1.563494,0,0,0
0.4600001,-7,0,5.451159,0.7326637,1.548841,0,0,0
0.4800001,-7,0,5.466432,0.7636405,1.533568,0,0,0
0.5000001,-7,0,5.482318,0.7943119,1.517682,0,0,0
0.52,-7,0,5.498812,0.8246655,1.501188,0,0,0
0.54,-7,0,5.515905,0.8546892,1.484095,0,0,0
0.56,-7,0,5.533593,0.8843712,1.466407,0,0,0
0.58,-7,0,5.551867,0.9136993,1.448133,0,0,0
0.6,-7,0,5.57072,0.942662,1.42928,0,0,0
0.6199999,-7,0,5.590145,0.9712476,1.409855,0,0,0
0.6399999,-7,0,5.610134,0.9994447,1.389866,0,0,0
0.6599999,-7,0,5.630679,1.027242,1.369321,0,0,0
0.6799999,-7,0,5.651771,1.054628,1.348229,0,0,0
0.6999999,-7,0,5.673403,1.081593,1.326597,0,0,0
0.7199998,-7,0,5.695565,1.108125,1.304435,0,0,0
0.7399998,-7,0,5.718249,1.134214,1.281751,0,0,0
0.7599998,-7,0,5.741446,1.159849,1.258554,0,0,0
0.7799998,-7,0,5.765147,1.18502,1.234853,0,0,0
0.7999998,-7,0,5.789341,1.209717,1.210659,0,0,0
0.8199998,-7,0,5.81402,1.23393,1.18598,0,0,0
0.8399997,-7,0,5.839173,1.25765,1.160827,0,0,0
0.8599997,-7,0,5.86479,1.280866,1.13521,0,0,0
0.8799997,-7,0,5.890862,1.30357,1.109138,0,0,0
0.8999997,-7,0,5.917377,1.325753,1.082623,0,0,0
0.9199997,-7,0,5.944324,1.347406,1.055676,0,0,0
0.9399996,-7,0,5.971695,1.368519,1.028305,0,0,0
0.9599996,-7,0,5.999476,1.389085,1.000524,0,0,0
0.9799996,-7,0,6.027658,1.409096,0.9723415,0,0,0
0.9999996,-7,0,6.056229,1.428542,0.9437709,0,0,0
1.02,-7,0,6.085177,1.447418,0.9148226,0,0,0
1.04,-7,0,6.114492,1.465714,0.8855081,0,0,0
1.06,-7,0,6.14416,1.483425,0.8558397,0,0,0
1.08,-7,0,6.174171,1.500541,0.825829,0,0,0
1.1,-7,0,6.204512,1.517058,0.7954879,0,0,0
1.12,-7,0,6.235171,1.532968,0.7648287,0,0,0
1.14,-7,0,6.266137,1.548264,0.7338634,0,0,0
1.159999,-7,0,6.297396,1.562942,0.7026043,0,0,0
1.179999,-7,0,6.328936,1.576994,0.6710644,0,0,0
1.199999,-7,0,6.360744,1.590415,0.639256,0,0,0
1.219999,-7,0,6.392808,1.6032,0.607192,0,0,0
1.239999,-7,0,6.425115,1.615344,0.5748854,0,0,0
1.259999,-7,0,6.457652,1.626842,0.5423484,0,0,0
1.279999,-7,0,6.490406,1.637689,0.5095944,0,0,0
1.299999,-7,0,6.523363,1.64788,0.4766369,0,0,0
1.319999,-7,0,6.556511,1.657413,0.4434886,0,0,0
1.339999,-7,0,6.589837,1.666283,0.4101629,0,0,0
1.359999,-7,0,6.623327,1.674486,0.3766732,0,0,0
1.379999,-7,0,6.656967,1.68202,0.3430328,0,0,0
1.399999,-7,0,6.690745,1.68888,0.3092551,0,0,0
1.419999,-7,0,6.724646,1.695065,0.2753539,0,0,0
1.439999,-7,0,6.758657,1.700572,0.2413425,0,0,0
1.459999,-7,0,6.792766,1.705399,0.2072344,0,0,0
1.479999,-7,0,6.826956,1.709544,0.1730437,0,0,0
1.499999,-7,0,6.861217,1.713005,0.1387835,0,0,0
1.519999,-7,0,6.895532,1.71578,0.1044679,0,0,0
1.539999,-7,0,6.92989,1.71787,0.07011032,0,0,0
1.559999,-7,0,6.964275,1.719272,0.03572464,0,0,0
1.579999,-7,0,6.998675,1.719987,0.00132513,0,0,0
1.599999,-7,0,7.033075,1.720013,-0.03307533,0,0,0
1.619999,-7,0,7.067462,1.719352,-0.06746244,0,0,0
1.639999,-7,0,7.101822,1.718002,-0.1018224,0,0,0
1.659999,-7,0,7.136142,1.715966,-0.1361418,0,0,0
1.679999,-7,0,7.170407,1.713243,-0.1704068,0,0,0
1.699999,-7,0,7.204604,1.709835,-0.2046037,0,0,0
1.719999,-7,0,7.238719,1.705743,-0.2387185,0,0,0
1.739999,-7,0,7.272738,1.700969,-0.272738,0,0,0
1.759999,-7,0,7.306648,1.695514,-0.3066483,0,0,0
1.779999,-7,0,7.340436,1.689381,-0.340436,0,0,0
1.799999,-7,0,7.374087,1.682572,-0.3740873,0,0,0
1.819999,-7,0,7.407589,1.67509,-0.407589,0,0,0
1.839999,-7,0,7.440928,1.666939,-0.4409275,0,0,0
1.859999,-7,0,7.47409,1.65812,-0.4740901,0,0,0
1.879999,-7,0,7.507063,1.648638,-0.5070629,0,0,0
1.899999,-7,0,7.539833,1.638497,-0.5398331,0,0,0
1.919999,-7,0,7.572387,1.6277,-0.5723872,0,0,0
1.939999,-7,0,7.604712,1.616253,-0.6047125,0,0,0
1.959999,-7,0,7.636796,1.604158,-0.6367955,0,0,0
1.979999,-7,0,7.668624,1.591422,-0.6686239,0,0,0
1.999999,-7,0,7.700185,1.57805,-0.7001848,0,0,0
2.019999,-7,0,7.731466,1.564046,-0.7314658,0,0,0
2.039999,-7,0,7.762454,1.549417,-0.762454,0,0,0
2.059999,-7,0,7.793138,1.534168,-0.7931376,0,0,0
2.079999,-7,0,7.823503,1.518305,-0.8235035,0,0,0
2.099999,-7,0,7.85354,1.501835,-0.8535404,0,0,0
2.119999,-7,0,7.883236,1.484764,-0.8832359,0,0,0
2.139999,-7,0,7.912578,1.467099,-0.9125781,0,0,0
2.159999,-7,0,7.941555,1.448848,-0.941555,0,0,0
2.179999,-7,0,7.970155,1.430017,-0.9701552,0,0,0
2.199999,-7,0,7.998367,1.410614,-0.9983673,0,0,0
2.219999,-7,0,8.02618,1.390646,-1.02618,0,0,0
2.239999,-7,0,8.053583,1.370123,-1.053583,0,0,0
2.259999,-7,0,8.080564,1.349051,-1.080564,0,0,0
2.279999,-7,0,8.107113,1.32744,-1.107113,0,0,0
2.299999,-7,0,8.133219,1.305297,-1.133219,0,0,0
2.319999,-7,0,8.158872,1.282633,-1.158872,0,0,0
2.339998,-7,0,8.184061,1.259456,-1.184061,0,0,0
2.359998,-7,0,8.208776,1.235775,-1.208776,0,0,0
2.379998,-7,0,8.233008,1.211599,-1.233008,0,0,0
2.399998,-7,0,8.256747,1.186939,-1.256747,0,0,0
2.419998,-7,0,8.279984,1.161804,-1.279984,0,0,0
2.439998,-7,0,8.302708,1.136204,-1.302708,0,0,0
2.459998,-7,0,8.324911,1.11015,-1.324911,0,0,0
2.479998,-7,0,8.346584,1.083652,-1.346584,0,0,0
2.499998,-7,0,8.367719,1.05672,-1.367719,0,0,0
2.519998,-7,0,8.388306,1.029366,-1.388306,0,0,0
2.539998,-7,0,8.408338,1.0016,-1.408338,0,0,0
2.559998,-7,0,8.427806,0.973433,-1.427806,0,0,0
2.579998,-7,0,8.446704,0.9448769,-1.446704,0,0,0
2.599998,-7,0,8.465023,0.9159428,-1.465023,0,0,0
2.619998,-7,0,8.482756,0.8866424,-1.482756,0,0,0
2.639998,-7,0,8.499895,0.8569873,-1.499895,0,0,0
2.659998,-7,0,8.516435,0.8269894,-1.516435,0,0,0
2.679998,-7,0,8.532368,0.7966607,-1.532368,0,0,0
2.699998,-7,0,8.547688,0.7660134,-1.547688,0,0,0
2.719998,-7,0,8.562388,0.7350596,-1.562388,0,0,0
2.739998,-7,0,8.576465,0.7038118,-1.576465,0,0,0
2.759998,-7,0,8.589911,0.6722825,-1.589911,0,0,0
2.779998,-7,0,8.60272,0.6404843,-1.60272,0,0,0
2.799998,-7,0,8.614889,0.6084299,-1.614889,0,0,0
2.819998,-7,0,8.626411,0.5761321,-1.626411,0,0,0
2.839998,-7,0,8.637283,0.5436039,-1.637283,0,0,0
2.859998,-7,0,8.6475,0.5108582,-1.6475,0,0,0
2.879998,-7,0,8.657058,0.4779083,-1.657058,0,0,0
2.899998,-7,0,8.665953,0.4447671,-1.665953,0,0,0
2.919998,-7,0,8.674182,0.411448,-1.674182,0,0,0
2.939998,-7,0,8.681741,0.3779644,-1.681741,0,0,0
2.959998,-7,0,8.688627,0.3443296,-1.688627,0,0,0
2.979998,-7,0,8.694839,0.310557,-1.694839,0,0,0
2.999998,-7,0,8.700372,0.2766602,-1.700372,0,0,0
3.019998,-7,0,8.705225,0.2426528,-1.705225,0,0,0
3.039998,-7,0,8.709396,0.2085483,-1.709396,0,0,0
3.059998,-7,0,8.712884,0.1743604,-1.712884,0,0,0
3.079998,-7,0,8.715686,0.1401027,-1.715686,0,0,0
3.099998,-7,0,8.717802,0.105789,-1.717802,0,0,0
3.119998,-7,0,8.719231,0.07143295,-1.719231,0,0,0
3.139998,-7,0,8.719972,0.03704834,-1.719972,0,0,0
3.159998,-7,0,8.720025,0.002648905,-1.720025,0,0,0
3.179998,-7,0,8.71939,-0.0317516,-1.71939,0,0,0
3.199998,-7,0,8.718067,-0.06613939,-1.718067,0,0,0
3.219998,-7,0,8.716057,-0.1005007,-1.716057,0,0,0
3.239998,-7,0,8.713361,-0.1348219,-1.713361,0,0,0
3.259998,-7,0,8.709979,-0.1690891,-1.709979,0,0,0
3.279998,-7,0,8.705914,-0.2032887,-1.705914,0,0,0
3.299998,-7,0,8.701165,-0.2374069,-1.701165,0,0,0
3.319998,-7,0,8.695737,-0.2714302,-1.695737,0,0,0
3.339998,-7,0,8.68963,-0.305345,-1.68963,0,0,0
3.359998,-7,0,8.682847,-0.3391376,-1.682847,0,0,0
3.379997,-7,0,8.675391,-0.3727945,-1.675391,0,0,0
3.399997,-7,0,8.667265,-0.4063023,-1.667265,0,0,0
3.419997,-7,0,8.658472,-0.4396476,-1.658472,0,0,0
3.439997,-7,0,8.649015,-0.4728171,-1.649015,0,0,0
3.459997,-7,0,8.6389,-0.5057974,-1.6389,0,0,0
3.479997,-7,0,8.628128,-0.5385754,-1.628128,0,0,0
3.499997,-7,0,8.616705,-0.571138,-1.616705,0,0,0
3.519997,-7,0,8.604635,-0.6034721,-1.604635,0,0,0
3.539997,-7,0,8.591924,-0.6355647,-1.591924,0,0,0
3.559997,-7,0,8.578576,-0.6674032,-1.578576,0,0,0
3.579997,-7,0,8.564596,-0.6989747,-1.564596,0,0,0
3.599997,-7,0,8.549991,-0.7302666,-1.549991,0,0,0
3.619997,-7,0,8.534765,-0.7612665,-1.534765,0,0,0
3.639997,-7,0,8.518926,-0.7919618,-1.518926,0,0,0
3.659997,-7,0,8.502479,-0.8223403,-1.502479,0,0,0
3.679997,-7,0,8.485431,-0.8523899,-1.485431,0,0,0
3.699997,-7,0,8.467789,-0.8820985,-1.467789,0,0,0
3.719997,-7,0,8.449559,-0.9114543,-1.449559,0,0,0
3.739997,-7,0,8.43075,-0.9404454,-1.43075,0,0,0
3.759997,-7,0,8.411368,-0.9690604,-1.411368,0,0,0
3.779997,-7,0,8.391422,-0.9972878,-1.391422,0,0,0
3.799997,-7,0,8.37092,-1.025116,-1.37092,0,0,0
3.819997,-7,0,8.34987,-1.052535,-1.34987,0,0,0
3.839997,-7,0,8.328279,-1.079532,-1.328279,0,0,0
3.859997,-7,0,8.306157,-1.106098,-1.306157,0,0,0
3.879997,-7,0,8.283513,-1.132221,-1.283513,0,0,0
3.899997,-7,0,8.260355,-1.157891,-1.260355,0,0,0
3.919997,-7,0,8.236693,-1.183098,-1.236693,0,0,0
3.939997,-7,0,8.212537,-1.207832,-1.212537,0,0,0
3.959997,-7,0,8.187895,-1.232083,-1.187895,0,0,0
3.979997,-7,0,8.162778,-1.255841,-1.162778,0,0,0
3.999997,-7,0,8.137196,-1.279096,-1.137196,0,0,0
4.019997,-7,0,8.111158,-1.30184,-1.111158,0,0,0
4.039997,-7,0,8.084677,-1.324063,-1.084677,0,0,0
4.059997,-7,0,8.057761,-1.345757,-1.057761,0,0,0
4.079997,-7,0,8.030423,-1.366912,-1.030423,0,0,0
4.099997,-7,0,8.002673,-1.387521,-1.002673,0,0,0
4.119997,-7,0,7.974522,-1.407574,-0.9745216,0,0,0
4.139997,-7,0,7.945981,-1.427065,-0.9459805,0,0,0
4.159997,-7,0,7.917061,-1.445984,-0.9170609,0,0,0
4.179997,-7,0,7.887774,-1.464325,-0.8877745,0,0,0
4.199997,-7,0,7.858133,-1.482081,-0.8581328,0,0,0
4.219997,-7,0,7.828148,-1.499243,-0.8281479,0,0,0
4.239997,-7,0,7.797832,-1.515806,-0.7978315,0,0,0
4.259997,-7,0,7.767196,-1.531763,-0.7671962,0,0,0
4.279997,-7,0,7.736254,-1.547107,-0.7362542,0,0,0
4.299997,-7,0,7.705018,-1.561832,-0.7050176,0,0,0
4.319997,-7,0,7.673499,-1.575932,-0.6734991,0,0,0
